timestamp, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], power.draw [W]
2026/04/08 09:16:02.085, P2, 100 %, 100 %, 6389 MiB, 1875 MHz, 77.14 W
2026/04/08 09:16:02.185, P2, 100 %, 100 %, 6389 MiB, 1875 MHz, 206.86 W
2026/04/08 09:16:02.285, P2, 100 %, 100 %, 6389 MiB, 1875 MHz, 206.86 W
2026/04/08 09:16:02.385, P2, 100 %, 100 %, 6389 MiB, 1875 MHz, 206.86 W
2026/04/08 09:16:02.486, P2, 100 %, 100 %, 6389 MiB, 1875 MHz, 206.86 W
2026/04/08 09:16:02.586, P2, 100 %, 100 %, 6389 MiB, 1860 MHz, 206.86 W
2026/04/08 09:16:02.686, P2, 100 %, 100 %, 6389 MiB, 1860 MHz, 229.47 W
2026/04/08 09:16:02.786, P2, 62 %, 74 %, 6389 MiB, 1860 MHz, 229.47 W
2026/04/08 09:16:02.886, P2, 62 %, 74 %, 6389 MiB, 1860 MHz, 229.47 W
2026/04/08 09:16:02.986, P2, 62 %, 74 %, 1 MiB, 1860 MHz, 229.47 W
2026/04/08 09:16:03.128, P2, 62 %, 74 %, 1 MiB, 1920 MHz, 229.47 W
2026/04/08 09:16:03.228, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 171.50 W
2026/04/08 09:16:03.328, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 171.50 W
2026/04/08 09:16:03.429, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 171.50 W
2026/04/08 09:16:03.529, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 171.50 W
2026/04/08 09:16:03.629, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 171.50 W
2026/04/08 09:16:03.729, P0, 62 %, 74 %, 1 MiB, 1920 MHz, 105.31 W
2026/04/08 09:16:03.829, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 105.31 W
2026/04/08 09:16:03.929, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 105.31 W
2026/04/08 09:16:04.030, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 105.31 W
2026/04/08 09:16:04.130, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 105.31 W
2026/04/08 09:16:04.230, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.330, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.430, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.531, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.631, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.731, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.831, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:04.931, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:05.031, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:05.132, P0, 0 %, 0 %, 1 MiB, 1920 MHz, 82.42 W
2026/04/08 09:16:05.232, P3, 0 %, 0 %, 1 MiB, 1920 MHz, 63.44 W
2026/04/08 09:16:05.332, P3, 0 %, 0 %, 1 MiB, 1920 MHz, 63.44 W
2026/04/08 09:16:05.432, P3, 0 %, 0 %, 1 MiB, 1920 MHz, 63.44 W
2026/04/08 09:16:05.532, P3, 0 %, 0 %, 1 MiB, 1920 MHz, 63.44 W
2026/04/08 09:16:05.632, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:05.733, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:05.833, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:05.933, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:06.033, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:06.133, P3, 0 %, 0 %, 1 MiB, 660 MHz, 63.44 W
2026/04/08 09:16:06.234, P3, 0 %, 0 %, 1 MiB, 660 MHz, 52.32 W
2026/04/08 09:16:06.334, P3, 0 %, 0 %, 1 MiB, 660 MHz, 52.32 W
2026/04/08 09:16:06.434, P3, 0 %, 0 %, 1 MiB, 660 MHz, 52.32 W
2026/04/08 09:16:06.534, P3, 0 %, 0 %, 1 MiB, 660 MHz, 52.32 W
2026/04/08 09:16:06.634, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:06.734, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:06.835, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:06.935, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:07.035, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:07.135, P3, 0 %, 0 %, 1 MiB, 420 MHz, 52.32 W
2026/04/08 09:16:07.235, P5, 0 %, 0 %, 1 MiB, 420 MHz, 39.56 W
2026/04/08 09:16:07.336, P5, 0 %, 0 %, 1 MiB, 420 MHz, 39.56 W
2026/04/08 09:16:07.436, P5, 0 %, 0 %, 1 MiB, 420 MHz, 39.56 W
2026/04/08 09:16:07.536, P5, 0 %, 0 %, 1 MiB, 420 MHz, 39.56 W
2026/04/08 09:16:07.636, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:07.736, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:07.836, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:07.937, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:08.037, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:08.137, P5, 0 %, 0 %, 1 MiB, 270 MHz, 39.56 W
2026/04/08 09:16:08.237, P5, 0 %, 0 %, 1 MiB, 270 MHz, 31.15 W
2026/04/08 09:16:08.337, P5, 0 %, 0 %, 1 MiB, 270 MHz, 31.15 W
2026/04/08 09:16:08.438, P5, 0 %, 0 %, 1 MiB, 270 MHz, 31.15 W
2026/04/08 09:16:08.538, P5, 0 %, 0 %, 1 MiB, 270 MHz, 31.15 W
2026/04/08 09:16:08.638, P5, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:08.738, P8, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:08.838, P8, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:08.938, P8, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:09.039, P8, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:09.139, P8, 0 %, 0 %, 1 MiB, 210 MHz, 31.15 W
2026/04/08 09:16:09.239, P8, 0 %, 0 %, 1 MiB, 210 MHz, 25.55 W
